animal_id,breed,intake_type,intake_subtype,intake_date,intake_time,intake_condition,outcome,outcome_date,outcome_time,impound_num
A0101596,GERM SHEPHERD,OWNER SURRENDER,APPOINT,06/04/2022,13:20:00,APP WNL,ADOPTION,06/06/2022,13:39:00,K22-556534
A0113667,POMERANIAN,OWNER SURRENDER,EUTHANASIA REQUESTED,12/09/2021,13:48:00,APP SICK,TRANSFER,12/15/2021,16:10:00,K21-543301
A0525959,SPANIEL,STRAY,CONFINED,05/04/2022,09:58:00,APP WNL,RETURNED TO OWNER,05/05/2022,17:21:00,K22-553726
A0526872,CHIHUAHUA SH,STRAY,AT LARGE,04/13/2022,16:55:00,APP SICK,RETURNED TO OWNER,04/13/2022,17:32:00,K22-551985
A0536200,CAIRN TERRIER,KEEPSAFE,OWN HOSPIT,02/07/2022,17:11:00,APP WNL,RETURNED TO OWNER,02/20/2022,17:11:00,K22-547393
A0548537,LABRADOR RETR,OWNER SURRENDER,URGENT,06/19/2022,18:08:00,APP SICK,TRANSFER,06/21/2022,16:56:00,K22-557778
A0551248,MIXED BREED,OWNER SURRENDER,APPOINT,09/03/2022,11:17:00,APP WNL,TRANSFER,09/07/2022,13:46:00,K22-564277
A0559624,CHIHUAHUA SH,KEEPSAFE,OWN DECEAS,06/25/2022,17:25:00,APP SICK,ADOPTION,07/06/2022,15:19:00,K22-558261
A0561004,CHIHUAHUA SH,OWNER SURRENDER,WALK IN,07/05/2022,16:20:00,APP WNL,EUTHANIZED,07/06/2022,13:22:00,K22-559128
A0577252,SHIH TZU,OWNER SURRENDER,APPOINT,05/05/2022,16:54:00,APP WNL,ADOPTION,05/08/2022,18:46:00,K22-553893
A0597189,CHIHUAHUA SH,STRAY,AT LARGE,07/15/2022,15:07:00,APP WNL,TRANSFER,07/29/2022,13:09:00,K22-560105
A0601296,LABRADOR RETR,OWNER SURRENDER,URGENT,08/08/2022,12:14:00,APP SICK,TRANSFER,08/11/2022,15:51:00,K22-562022
A0605617,CHOW CHOW,OWNER SURRENDER,EUTHANASIA REQUESTED,11/22/2021,10:15:00,APP WNL,TRANSFER,11/24/2021,14:05:00,K21-542045
A0608900,CHIHUAHUA SH,TRANSFER,STRAY,08/10/2022,11:11:00,APP WNL,ADOPTION,08/16/2022,12:47:00,K22-562185
A0614326,CHIHUAHUA SH,OWNER SURRENDER,URGENT,10/09/2021,14:57:00,DECEASED,DISPOSAL,10/09/2021,18:57:00,K21-538564
A0623088,LABRADOR RETR,OWNER SURRENDER,PICK UP,01/25/2022,10:28:00,APP SICK,RETURNED TO OWNER,01/26/2022,16:10:00,K22-546448
A0623589,POODLE MIN,STRAY,AT LARGE,01/03/2022,14:26:00,APP WNL,RETURNED TO OWNER,01/03/2022,18:06:00,K22-544985
A0629143,MALTESE,OWNER SURRENDER,EUTHANASIA REQUESTED,11/01/2021,11:11:00,APP SICK,RETURNED TO OWNER,11/01/2021,18:33:00,K21-540441
A0631535,TERRIER,OWNER SURRENDER,URGENT,09/25/2022,16:30:00,APP SICK,EUTHANIZED,09/28/2022,13:32:00,K22-566141
A0632169,GERM SHEPHERD,OWNER SURRENDER,PICK UP,05/08/2022,08:44:00,APP SICK,EUTHANIZED,05/08/2022,11:45:00,K22-554084
A0632406,DACHSHUND,STRAY,AT LARGE,08/10/2022,15:25:00,APP WNL,RETURNED TO OWNER,08/12/2022,19:18:00,K22-562216
A0644135,CATAHOULA,OWNER SURRENDER,WALK IN,01/19/2022,14:41:00,APP WNL,EUTHANIZED,01/23/2022,10:44:00,K22-546082
A0650172,GERM SHEPHERD,OWNER SURRENDER,URGENT,11/20/2021,19:17:00,APP SICK,EUTHANIZED,11/20/2021,20:55:00,K21-541975
A0655660,CAIRN TERRIER,STRAY,AT LARGE,05/16/2022,15:32:00,APP WNL,RETURNED TO OWNER,05/20/2022,18:09:00,K22-554785
A0656103,ROTTWEILER,OWNER SURRENDER,URGENT,07/28/2022,14:06:00,APP INJ,EUTHANIZED,08/04/2022,15:09:00,K22-561133
A0656113,ROTTWEILER,OWNER SURRENDER,URGENT,07/28/2022,14:06:00,APP INJ,EUTHANIZED,08/04/2022,15:23:00,K22-561132
A0657362,SHEPHERD,STRAY,AT LARGE,07/06/2022,13:42:00,APP INJ,EUTHANIZED,07/06/2022,15:11:00,K22-559214
A0668790,CHIHUAHUA SH,OWNER SURRENDER,WALK IN,11/01/2021,12:54:00,APP WNL,ADOPTION,11/09/2021,14:43:00,K21-540454
A0673908,PIT BULL,STRAY,AT LARGE,01/01/2022,12:37:00,APP WNL,RETURNED TO OWNER,01/02/2022,11:08:00,K22-544826
A0681623,SCHNAUZER MIN,KEEPSAFE,OWN HOSPIT,02/07/2022,17:11:00,APP WNL,RETURNED TO OWNER,02/20/2022,17:12:00,K22-547391
