animal_id,breed,intake_type,intake_subtype,intake_date,intake_time,intake_condition,outcome,outcome_date,outcome_time,impound_num
A0692317,CHIHUAHUA SH,DISPOS REQ,OTC,11/03/2021,17:02:00,DECEASED,DISPOSAL,11/03/2021,17:14:00,K21-540627
A0695338,BOSTON TERRIER,DISPOS REQ,OTC,04/13/2022,09:52:00,DECEASED,DISPOSAL,04/13/2022,09:54:00,K22-551927
A0703155,LABRADOR RETR,DISPOS REQ,OTC,10/04/2021,10:54:00,DECEASED,DISPOSAL,10/04/2021,11:09:00,K21-538195
A0703184,TR WALKER HOUND,STRAY,CONFINED,05/22/2022,15:23:00,APP INJ,ADOPTION,06/15/2022,15:19:00,K22-555329
A0705369,BORDER COLLIE,OWNER SURRENDER,WALK IN,12/23/2021,11:11:00,APP SICK,EUTHANIZED,12/23/2021,11:48:00,K21-544222
A0711486,LABRADOR RETR,FOSTER,RETURN,01/14/2022,13:27:00,APP WNL,ADOPTION,01/14/2022,13:27:00,K22-545731
A0711486,LABRADOR RETR,TRANSFER,OWNER SURR,12/01/2021,12:45:00,APP WNL,FOSTER,12/11/2021,15:18:00,K21-542652
A0712281,SCHNAUZER MIN,OWNER SURRENDER,URGENT,03/22/2022,14:22:00,CRITICAL,EUTHANIZED,03/22/2022,16:07:00,K22-550257
A0715875,AM PIT BULL TER,OWNER SURRENDER,APPOINT,06/09/2022,12:11:00,APP WNL,EUTHANIZED,06/10/2022,15:41:00,K22-556920
A0717641,ROTTWEILER,OWNER SURRENDER,URGENT,10/13/2021,15:45:00,APP WNL,RETURNED TO OWNER,10/17/2021,16:41:00,K21-538917
A0722893,BOXER,CONFISCATED,QUARANTINE,12/27/2021,02:36:00,APP SICK,RETURNED TO OWNER,12/27/2021,13:26:00,K21-544422
A0728725,GERM SHEPHERD,STRAY,AT LARGE,01/05/2022,11:49:00,APP WNL,RETURNED TO OWNER,01/13/2022,11:21:00,K22-545113
A0734514,PIT BULL,OWNER SURRENDER,URGENT,04/27/2022,16:33:00,APP SICK,TRANSFER,05/02/2022,16:17:00,K22-553182
A0737728,LHASA APSO,OWNER SURRENDER,URGENT,02/11/2022,19:58:00,APP SICK,TRANSFER,02/18/2022,14:43:00,K22-547709
A0737987,PIT BULL,STRAY,AT LARGE,06/09/2022,16:31:00,APP INJ,EUTHANIZED,06/09/2022,17:16:00,K22-556951
A1133797,SCOT TERRIER,STRAY,WEB,11/10/2021,18:25:00,NORMAL,LOST EXP,12/13/2021,00:00:00,K21-541346
A0742314,LABRADOR RETR,TREATMENT,HEART WORM,01/04/2022,10:10:00,APP WNL,TREATMENT,01/04/2022,11:14:00,K22-545034
A0742935,LABRADOR RETR,STRAY,AT LARGE,01/14/2022,08:12:00,APP WNL,RETURNED TO OWNER,01/14/2022,08:18:00,K22-545698
A0755277,CHIHUAHUA SH,OWNER SURRENDER,WALK IN,04/02/2022,10:50:00,APP WNL,ADOPTION,04/08/2022,13:04:00,K22-551053
A0756577,TOY FOX TERRIER,STRAY,AT LARGE,06/18/2022,12:37:00,APP WNL,RETURNED TO OWNER,06/20/2022,11:37:00,K22-557667
A0757838,GERM SHEPHERD,TRANSFER,STRAY,06/06/2022,15:53:00,APP WNL,EUTHANIZED,06/17/2022,16:41:00,K22-556707
A0763458,LABRADOR RETR,CONFISCATED,QUARANTINE,05/27/2022,17:39:00,APP WNL,RETURNED TO OWNER,06/06/2022,12:25:00,K22-555829
A0769235,PIT BULL,STRAY,CONFINED,11/07/2021,02:47:00,APP WNL,RETURNED TO OWNER,11/07/2021,12:10:00,K21-540934
A0769235,PIT BULL,STRAY,AT LARGE,10/03/2021,22:46:00,APP WNL,RETURNED TO OWNER,10/05/2021,17:59:00,K21-538171
A0770373,PIT BULL,STRAY,CONFINED,07/01/2022,15:10:00,APP WNL,TRANSFER,08/27/2022,12:17:00,K22-558764
A0775997,GERM SHEPHERD,STRAY,AT LARGE,04/20/2022,08:17:00,APP WNL,RETURNED TO OWNER,04/21/2022,12:28:00,K22-552492
A0778310,CHIHUAHUA SH,TREATMENT,HEART WORM,10/21/2021,10:35:00,APP WNL,TREATMENT,10/21/2021,16:21:00,K21-539538
A0778310,CHIHUAHUA SH,TREATMENT,HEART WORM,11/28/2021,09:27:00,APP WNL,TREATMENT,11/29/2021,16:43:00,K21-542423
A0783805,LABRADOR RETR,OWNER SURRENDER,URGENT,10/16/2021,13:16:00,APP WNL,FOSTER,10/25/2021,17:29:00,K21-539180
A0783805,LABRADOR RETR,FOSTER,RETURN,10/28/2021,05:48:00,APP WNL,TRANSFER,10/28/2021,05:49:00,K21-540099
A0784913,MIXED BREED,STRAY,AT LARGE,09/10/2022,22:03:00,APP WNL,ADOPTION,10/29/2022,18:20:00,K22-564971
A0785989,PIT BULL,STRAY,AT LARGE,02/15/2022,20:01:00,APP WNL,RETURNED TO OWNER,02/28/2022,18:16:00,K22-547989
A0787695,GERM SHEPHERD,STRAY,AT LARGE,09/14/2022,17:50:00,APP WNL,RETURNED TO OWNER,09/15/2022,17:23:00,K22-565305
A0792560,PIT BULL,STRAY,CONFINED,06/25/2022,18:57:00,APP SICK,RETURNED TO OWNER,06/25/2022,19:47:00,K22-558264
A0794144,PIT BULL,STRAY,AT LARGE,04/14/2022,11:32:00,APP INJ,EUTHANIZED,04/16/2022,14:53:00,K22-552026
A0794596,CHIHUAHUA SH,STRAY,CONFINED,02/16/2022,18:45:00,APP SICK,TRANSFER,02/25/2022,13:31:00,K22-548061
A0794663,CHIHUAHUA SH,STRAY,AT LARGE,03/05/2022,13:02:00,APP WNL,ADOPTION,04/03/2022,14:30:00,K22-549127
A0797536,GERM SHEPHERD,STRAY,AT LARGE,12/17/2021,11:23:00,APP WNL,DIED,01/09/2022,07:30:00,K21-543797
A0797746,CAIRN TERRIER,OWNER SURRENDER,URGENT,10/07/2021,15:40:00,DECEASED,DISPOSAL,10/08/2021,15:20:00,K21-538429
A0797770,LABRADOR RETR,STRAY,AT LARGE,10/09/2021,13:33:00,APP WNL,RETURNED TO OWNER,10/15/2021,16:59:00,K21-538556
A0797770,LABRADOR RETR,STRAY,AT LARGE,05/20/2022,10:52:00,APP WNL,RETURNED TO OWNER,05/28/2022,15:25:00,K22-555113
A0799866,BASSET HOUND,OWNER SURRENDER,APPOINT,11/08/2021,13:00:00,APP WNL,EUTHANIZED,11/20/2021,14:34:00,K21-541043
A0804397,SHIH TZU,STRAY,CONFINED,01/07/2022,14:16:00,APP WNL,RETURNED TO OWNER,01/07/2022,15:57:00,K22-545276
A0811546,PIT BULL,OWNER SURRENDER,WALK IN,07/19/2022,11:06:00,DECEASED,DISPOSAL,07/19/2022,19:34:00,K22-560365
A0813527,MIXED BREED,STRAY,AT LARGE,09/19/2022,12:01:00,APP WNL,FOSTER,10/01/2022,17:07:00,K22-565646
A0813739,POODLE MIN,STRAY,AT LARGE,05/30/2022,16:00:00,CRITICAL,EUTHANIZED,06/01/2022,11:53:00,K22-556058
A0814701,CHIHUAHUA SH,OWNER SURRENDER,APPOINT,10/08/2021,11:36:00,APP WNL,TRANSFER,10/09/2021,15:59:00,K21-538465
A0814825,PIT BULL,CONFISCATED,QUARANTINE,06/17/2022,16:17:00,APP WNL,RETURNED TO OWNER,06/21/2022,18:17:00,K22-557616
A0815573,PIT BULL,STRAY,AT LARGE,05/23/2022,12:41:00,APP INJ,RETURNED TO OWNER,05/23/2022,12:44:00,K22-555390
A0816413,ALASKAN HUSKY,STRAY,AT LARGE,04/22/2022,10:09:00,APP WNL,RETURNED TO OWNER,04/23/2022,17:38:00,K22-552678
A0817136,LABRADOR RETR,STRAY,AT LARGE,12/11/2021,12:24:00,APP WNL,EUTHANIZED,12/24/2021,14:38:00,K21-543464
A0817988,RAT TERRIER,STRAY,AT LARGE,01/02/2022,14:22:00,APP WNL,RETURNED TO OWNER,01/03/2022,12:39:00,K22-544920
A0818217,SHIH TZU,TRANSFER,STRAY,12/23/2021,11:51:00,APP WNL,RETURNED TO OWNER,12/23/2021,13:33:00,K21-544224
A0819218,PIT BULL,TREATMENT,HEART WORM,01/10/2022,09:20:00,APP WNL,TREATMENT,01/10/2022,16:06:00,K22-545446
A0819218,PIT BULL,TREATMENT,HEART WORM,12/08/2021,09:53:00,APP WNL,TREATMENT,12/08/2021,10:11:00,K21-543133
A0819218,PIT BULL,TREATMENT,HEART WORM,02/14/2022,10:28:00,APP WNL,TREATMENT,02/15/2022,17:41:00,K22-547875
A0819935,PIT BULL,CONFISCATED,SAC,10/26/2021,16:49:00,DECEASED,DISPOSAL,10/27/2021,16:14:00,K21-539978
A0822156,GOLDEN RETR,STRAY,AT LARGE,09/05/2022,10:46:00,APP WNL,RETURNED TO OWNER,09/05/2022,11:30:00,K22-564504
A0824446,LABRADOR RETR,STRAY,AT LARGE,12/28/2021,14:36:00,APP WNL,RETURNED TO OWNER,12/28/2021,15:04:00,K21-544545
A0824448,LABRADOR RETR,STRAY,AT LARGE,12/28/2021,14:40:00,APP WNL,RETURNED TO OWNER,12/28/2021,15:01:00,K21-544546
A0826118,GERM SHEPHERD,STRAY,AT LARGE,07/02/2022,10:13:00,APP WNL,RETURNED TO OWNER,07/02/2022,10:21:00,K22-558835
A1133798,BORDER COLLIE,STRAY,WEB,11/11/2021,19:25:00,NORMAL,LOST EXP,12/13/2021,00:00:00,K21-541347
A0831097,GERM SHEPHERD,STRAY,AT LARGE,10/13/2021,12:25:00,APP INJ,RETURNED TO OWNER,10/13/2021,13:33:00,K21-538890
A0832360,MIN PINSCHER,OWNER SURRENDER,APPOINT,10/24/2021,12:12:00,APP WNL,ADOPTION,11/14/2021,17:26:00,K21-539786
A0832360,MIN PINSCHER,OWNER SURRENDER,WALK IN,03/22/2022,11:16:00,APP WNL,TRANSFER,04/12/2022,08:53:00,K22-550248
A0835443,PIT BULL,CONFISCATED,QUARANTINE,04/10/2022,13:55:00,APP WNL,RETURNED TO OWNER,04/21/2022,15:33:00,K22-551727
A0835444,PIT BULL,CONFISCATED,QUARANTINE,04/10/2022,13:55:00,APP WNL,RETURNED TO OWNER,04/21/2022,15:38:00,K22-551728
A0838689,LABRADOR RETR,STRAY,AT LARGE,06/28/2022,11:10:00,APP WNL,RETURNED TO OWNER,06/28/2022,11:19:00,K22-558441
A0839820,CHIHUAHUA SH,OWNER SURRENDER,URGENT,05/07/2022,19:16:00,APP SICK,EUTHANIZED,05/13/2022,14:10:00,K22-554074
A0842366,MIXED BREED,STRAY,AT LARGE,09/07/2022,10:15:00,APP WNL,FOSTER,10/15/2022,10:16:00,K22-564095
A0851063,CAIRN TERRIER,TRANSFER,STRAY,11/08/2021,13:32:00,APP WNL,ADOPTION,11/22/2021,16:00:00,K21-541046
A0851522,CAIRN TERRIER,TRANSFER,STRAY,09/10/2022,13:54:00,APP WNL,ADOPTION,09/16/2022,16:38:00,K22-564927
A0853741,GERM SHEPHERD,STRAY,AT LARGE,10/09/2021,13:33:00,APP WNL,RETURNED TO OWNER,10/15/2021,16:59:00,K21-538557
A0853741,GERM SHEPHERD,STRAY,AT LARGE,05/20/2022,10:52:00,APP WNL,RETURNED TO OWNER,05/28/2022,15:26:00,K22-555115
A0857252,BLACK MOUTH CUR,OWNER SURRENDER,WALK IN,01/03/2022,17:02:00,APP WNL,TRANSFER,02/27/2022,17:28:00,K22-545007
A0857362,CHOW CHOW,OWNER SURRENDER,WALK IN,07/20/2022,12:02:00,DECEASED,DISPOSAL,07/20/2022,12:04:00,K22-560464
A0858959,PIT BULL,CONFISCATED,QUARANTINE,07/19/2022,12:08:00,APP WNL,RETURNED TO OWNER,07/29/2022,14:46:00,K22-560373
A0858959,PIT BULL,CONFISCATED,QUARANTINE,03/11/2022,13:10:00,APP INJ,RETURNED TO OWNER,03/19/2022,18:03:00,K22-549564
A0862723,LABRADOR RETR,OWNER SURRENDER,APPOINT,08/10/2022,14:10:00,APP WNL,TRANSFER,08/26/2022,17:24:00,K22-562209
A0863410,MIXED BREED,STRAY,AT LARGE,09/13/2022,14:39:00,APP WNL,TRANSFER,10/08/2022,09:24:00,K22-565189
A0865228,LABRADOR RETR,STRAY,AT LARGE,09/27/2022,11:15:00,APP WNL,RETURNED TO OWNER,09/29/2022,17:57:00,K22-566259
A0866305,PIT BULL,STRAY,AT LARGE,01/04/2022,09:58:00,APP WNL,RETURNED TO OWNER,01/10/2022,17:00:00,K22-545033
A0866706,POMERANIAN,STRAY,AT LARGE,03/10/2022,12:24:00,APP WNL,ADOPTION,03/11/2022,14:16:00,K22-549489
A0869493,MIXED BREED,STRAY,AT LARGE,08/17/2022,12:19:00,APP WNL,TRANSFER,09/07/2022,13:46:00,K22-562803
A0870739,LABRADOR RETR,OWNER SURRENDER,URGENT,10/18/2021,10:28:00,APP INJ,DIED,10/18/2021,12:48:00,K21-539293
A0871054,PIT BULL,STRAY,AT LARGE,05/02/2022,14:07:00,APP SICK,TRANSFER,07/16/2022,15:34:00,K22-553596
A0871790,MIXED BREED,STRAY,AT LARGE,08/26/2022,14:45:00,APP WNL,TRANSFER,09/28/2022,12:15:00,K22-563623
A0871848,LABRADOR RETR,STRAY,CONFINED,04/09/2022,13:31:00,APP SICK,RETURNED TO OWNER,04/16/2022,11:38:00,K22-551657
A0872213,LABRADOR RETR,STRAY,CONFINED,12/20/2021,07:54:00,APP WNL,RETURNED TO OWNER,12/20/2021,08:24:00,K21-543980
A0872224,PIT BULL,OWNER SURRENDER,APPOINT,03/11/2022,11:11:00,APP WNL,EUTHANIZED,03/21/2022,13:59:00,K22-549557
A0872410,ENG POINTER,STRAY,CONFINED,10/17/2021,04:10:00,APP SICK,RETURNED TO OWNER,10/19/2021,12:31:00,K21-539222
A0873455,LABRADOR RETR,OWNER SURRENDER,URGENT,12/08/2021,17:40:00,APP SICK,EUTHANIZED,12/12/2021,15:16:00,K21-543193
A0874101,SHIH TZU,STRAY,AT LARGE,12/23/2021,12:17:00,APP WNL,RETURNED TO OWNER,12/23/2021,15:35:00,K21-544232
A0878046,LABRADOR RETR,FOSTER,RETURN,02/01/2022,16:00:00,APP WNL,TRANSFER,02/01/2022,16:00:00,K22-546986
A0878238,PIT BULL,STRAY,AT LARGE,09/05/2022,03:26:00,APP WNL,RETURNED TO OWNER,09/05/2022,14:14:00,K22-564423
A0878645,LABRADOR RETR,FOSTER,RETURN,10/28/2021,05:53:00,APP WNL,TRANSFER,10/28/2021,05:53:00,K21-540102
A0879023,SCHNAUZER MIN,OWNER SURRENDER,WALK IN,05/13/2022,13:04:00,APP WNL,TRANSFER,05/17/2022,15:50:00,K22-554507
A0879183,CHOW CHOW,OWNER SURRENDER,PICK UP,03/23/2022,08:39:00,APP WNL,TRANSFER,04/13/2022,20:02:00,K22-550297
A0880347,GOLDEN RETR,STRAY,AT LARGE,04/10/2022,08:33:00,APP WNL,ADOPTION,04/16/2022,12:55:00,K22-551697
A0883160,DACHSHUND,STRAY,AT LARGE,04/06/2022,18:02:00,APP WNL,RETURNED TO OWNER,04/08/2022,11:33:00,K22-551415
A0884451,GERM SHEPHERD,OWNER SURRENDER,EUTHANASIA REQUESTED,02/12/2022,17:34:00,CRITICAL,EUTHANIZED,02/12/2022,22:45:00,K22-547771
A0885059,MALTESE,OWNER SURRENDER,URGENT,05/25/2022,10:20:00,APP WNL,ADOPTION,05/31/2022,13:25:00,K22-555560
A0887129,RAT TERRIER,STRAY,CONFINED,11/17/2021,16:00:00,APP WNL,RETURNED TO OWNER,11/17/2021,16:45:00,K21-541748
A0887129,RAT TERRIER,TRANSFER,STRAY,11/24/2021,11:39:00,APP WNL,RETURNED TO OWNER,11/24/2021,15:49:00,K21-542199
A0889068,BOXER,STRAY,AT LARGE,08/02/2022,06:30:00,APP WNL,RETURNED TO OWNER,08/02/2022,19:35:00,K22-561504
A0889982,GERM SHEPHERD,CONFISCATED,QUARANTINE,06/08/2022,00:33:00,APP WNL,RETURNED TO OWNER,06/21/2022,13:36:00,K22-556809
A0891968,CHIHUAHUA SH,KEEPSAFE,OTHER,10/12/2021,13:15:00,APP INJ,TRANSFER,10/22/2021,15:57:00,K21-538804
A0892710,LABRADOR RETR,STRAY,AT LARGE,05/05/2022,12:34:00,APP WNL,RETURNED TO OWNER,05/07/2022,16:58:00,K22-553863
A0892710,LABRADOR RETR,STRAY,AT LARGE,03/30/2022,13:28:00,APP WNL,RETURNED TO OWNER,03/31/2022,18:14:00,K22-550834
A0892710,LABRADOR RETR,STRAY,AT LARGE,08/23/2022,18:12:00,APP WNL,RETURNED TO OWNER,08/24/2022,18:47:00,K22-563387
A0894774,PIT BULL,STRAY,CONFINED,05/31/2022,12:35:00,APP WNL,ADOPTION,06/06/2022,15:17:00,K22-556114
A0895359,ALASKAN HUSKY,OWNER SURRENDER,EUTHANASIA REQUESTED,10/09/2021,15:29:00,APP SICK,EUTHANIZED,11/04/2021,11:32:00,K21-538585
A0895880,GERM SHEPHERD,OWNER SURRENDER,URGENT,12/04/2021,15:20:00,APP INJ,TRANSFER,02/13/2022,18:25:00,K21-542898
A0897821,ROTTWEILER,OWNER SURRENDER,QUARANTINE,06/08/2022,11:23:00,APP WNL,EUTHANIZED,06/09/2022,15:45:00,K22-556825
A0897857,PIT BULL,STRAY,AT LARGE,03/24/2022,06:34:00,APP WNL,RETURNED TO OWNER,03/24/2022,06:35:00,K22-550372
A0897857,PIT BULL,STRAY,AT LARGE,11/23/2021,10:00:00,APP WNL,RETURNED TO OWNER,11/23/2021,10:33:00,K21-542116
A0898102,CHIHUAHUA SH,STRAY,AT LARGE,03/22/2022,15:38:00,APP WNL,ADOPTION,03/31/2022,14:44:00,K22-550267
A0898506,CAIRN TERRIER,STRAY,AT LARGE,07/14/2022,17:59:00,APP WNL,ADOPTION,07/21/2022,15:10:00,K22-560025
A0900210,DOBERMAN PINSCH,OWNER SURRENDER,WALK IN,08/16/2022,12:41:00,APP WNL,FOSTER,08/21/2022,10:37:00,K22-562736
A0900210,DOBERMAN PINSCH,OWNER SURRENDER,PICK UP,05/04/2022,14:40:00,APP WNL,ADOPTION,07/07/2022,15:41:00,K22-553770
A0902185,DACHSHUND,OWNER SURRENDER,WALK IN,01/03/2022,17:02:00,APP WNL,ADOPTION,01/14/2022,11:43:00,K22-545008
A0902861,GERM SHEPHERD,CONFISCATED,QUARANTINE,12/14/2021,14:21:00,APP WNL,RETURNED TO OWNER,12/24/2021,11:48:00,K21-543585
A0903245,AMERICAN STAFF,STRAY,AT LARGE,05/05/2022,14:45:00,APP WNL,RETURNED TO OWNER,05/05/2022,14:56:00,K22-553882
A0903371,AMERICAN STAFF,STRAY,AT LARGE,04/29/2022,15:44:00,APP WNL,ADOPTION,05/15/2022,18:25:00,K22-553374
A0903371,AMERICAN STAFF,STRAY,AT LARGE,11/26/2021,16:30:00,APP INJ,RETURNED TO OWNER,11/27/2021,13:04:00,K21-542329
A0903371,AMERICAN STAFF,TRANSFER,STRAY,10/28/2021,10:41:00,APP WNL,ADOPTION,11/08/2021,15:00:00,K21-540130
A0906083,AMERICAN STAFF,STRAY,CONFINED,01/19/2022,17:16:00,APP WNL,RETURNED TO OWNER,01/19/2022,17:43:00,K22-546107
A0906544,BOXER,OWNER SURRENDER,URGENT,04/29/2022,13:36:00,CRITICAL,EUTHANIZED,04/29/2022,15:23:00,K22-553349
A0907637,LABRADOR RETR,STRAY,AT LARGE,12/12/2021,17:48:00,APP WNL,RETURNED TO OWNER,12/17/2021,17:30:00,K21-543394
A0908117,AMERICAN STAFF,OWNER SURRENDER,WALK IN,01/03/2022,17:02:00,APP WNL,ADOPTION,01/17/2022,16:39:00,K22-545006
A0908495,PIT BULL,OWNER SURRENDER,APPOINT,03/10/2022,12:56:00,APP WNL,EUTHANIZED,04/11/2022,16:22:00,K22-549491
A0909598,ALASKAN HUSKY,STRAY,AT LARGE,04/07/2022,14:16:00,APP WNL,RETURNED TO OWNER,04/08/2022,17:42:00,K22-551470
A0909613,SHIH TZU,OWNER SURRENDER,URGENT,03/24/2022,01:04:00,DECEASED,DISPOSAL,03/24/2022,01:21:00,K22-550363
A0910303,PIT BULL,OWNER SURRENDER,WALK IN,06/15/2022,14:33:00,APP SICK,EUTHANIZED,06/15/2022,15:00:00,K22-557418
A0911423,LABRADOR RETR,CONFISCATED,QUARANTINE,08/11/2022,23:03:00,APP WNL,RETURNED TO OWNER,08/21/2022,17:27:00,K22-562338
A0911520,SCHNAUZER MIN,OWNER SURRENDER,URGENT,05/12/2022,11:24:00,APP WNL,RETURNED TO OWNER,05/19/2022,11:51:00,K22-554387
A0911675,PIT BULL,CONFISCATED,QUARANTINE,08/02/2022,22:18:00,APP WNL,RETURNED TO OWNER,08/13/2022,12:46:00,K22-561583
A0911735,CHIHUAHUA SH,STRAY,AT LARGE,03/30/2022,14:21:00,APP WNL,RETURNED TO OWNER,03/30/2022,15:45:00,K22-550841
A0911735,CHIHUAHUA SH,STRAY,AT LARGE,04/25/2022,14:45:00,APP WNL,RETURNED TO OWNER,04/26/2022,17:09:00,K22-552964
A0911809,LABRADOR RETR,STRAY,CONFINED,12/04/2021,19:39:00,APP WNL,RETURNED TO OWNER,12/04/2021,20:25:00,K21-542909
A0912466,LABRADOR RETR,CONFISCATED,QUARANTINE,10/15/2021,00:10:00,APP WNL,RETURNED TO OWNER,10/26/2021,14:23:00,K21-539035
A0915722,AMERICAN STAFF,OWNER SURRENDER,WALK IN,05/19/2022,14:24:00,APP SICK,EUTHANIZED,05/19/2022,15:34:00,K22-555051
A0915966,CHIHUAHUA SH,OWNER SURRENDER,APPOINT,01/05/2022,12:04:00,APP WNL,ADOPTION,01/06/2022,14:23:00,K22-545121
A0916082,CHIHUAHUA SH,OWNER SURRENDER,URGENT,02/14/2022,17:30:00,APP WNL,TRANSFER,02/20/2022,10:06:00,K22-547907
A0916337,LABRADOR RETR,STRAY,AT LARGE,10/19/2021,14:19:00,APP SICK,EUTHANIZED,10/25/2021,16:45:00,K21-539404
A0919489,GERM SHEPHERD,CONFISCATED,QUARANTINE,06/10/2022,09:24:00,APP WNL,RETURNED TO OWNER,06/18/2022,17:41:00,K22-556998
A0919664,PIT BULL,CONFISCATED,QUARANTINE,12/24/2021,15:58:00,APP WNL,RETURNED TO OWNER,01/03/2022,17:45:00,K21-544299
A0920047,MANCHESTER TERR,TREATMENT,HEART WORM,10/11/2021,10:52:00,APP WNL,TREATMENT,10/11/2021,10:54:00,K21-538681
A0920047,MANCHESTER TERR,OWNER SURRENDER,WALK IN,11/04/2021,13:38:00,APP WNL,ADOPTION,11/13/2021,17:38:00,K21-540705
A0921358,CHIHUAHUA SH,OWNER SURRENDER,APPOINT,09/01/2022,14:06:00,APP WNL,ADOPTION,09/05/2022,13:33:00,K22-564136
A0922028,PIT BULL,OWNER SURRENDER,APPOINT,06/05/2022,13:02:00,APP WNL,RETURNED TO OWNER,06/06/2022,17:39:00,K22-556615
A0922498,AUST SHEPHERD,CONFISCATED,QUARANTINE,07/05/2022,15:57:00,APP WNL,RETURNED TO OWNER,07/13/2022,15:15:00,K22-559123
